Church,Organizations,People,Title,AccountLongName,CurrentValue,LastYearValue,InvestmentType
2165870,"","","LEBANON PARSONAGE","LEBANON UMC PARSONAGE FUND",84512.21,78067,CONSERV
2165870,"","","LEBANON BUILDING FUN","LEBANON UMC BUILDING FUND",10082.92,9314.01,CONSERV
2165870,"","",LEBANONGENERAL,"LEBANON UNITED METHODIST CHURCH GENERAL FUND",49743.93,45950.31,CONSERV
2165872,"","","WEBBS CHAPEL UMC","WEBBS CHAPEL UMC CHURCH FUND",31459.53,27562.09,DIVERSIFIE
2165875,"","","ALDERSGATE ENDOW","ALDERSGATE UMC - ALDERSGATE ENDOWMENT FUND",598531.15,523082.61,DIVERSIFIE
2165875,"","","ALDERSGATE CAPITAL","ALDERSGATE UMC- CAPITAL REPLACEMENT FUND",8834.44,7720.83,DIVERSIFIE
2165875,"","","ALDERSGATE SCHOLARSH","ALDERSGATE UMC- SELF SCHOLARSHIP FUND",44944.72,40523.85,DIVERSIFIE
2165876,"","","CENTRAL SHELBY LEGAC","CENTRAL UMC SHELBY LEGACY FUND",1461652.04,1328754.9,DIVERSIFIE
2165876,"","","CENTRAL SHELBY OPER","CENTRAL UMC SHELBY OPERATING BUDGET FUND",125056.12,113685.98,DIVERSIFIE
2165876,"","","CENTRAL SHELBY BLDG","CENTRAL UMC SHELBY BUILDING FUND",125056.12,113685.98,DIVERSIFIE
2165876,"","","CENTRAL SHELBY PREAC","CENTRAL UMC SHELBY PREACHING TEACHING",138318.6,125742.63,DIVERSIFIE
2165879,"","",NEWCOVENANTUMC,"NEW COVENANT UNITED METHODIST CEMETARY FUND",0,24024.67,DIVERSIFIE
2165889,"","","MESSIAH UMC","MESSIAH UMC/PARISH NURSE PROGRAM",25081.79,21974.48,DIVERSIFIE
2165889,"","","MESSIAH UMC CEMETERY","MESSIAH UMC BETHEL CEMETERY FUND",42898.05,37583.43,DIVERSIFIE
2165890,"","","BETHLEHEM UMC GRADY","BETHLEHEM UMC OF CLIMAX, INC. HELEN GRADY ENDOWMENT FUND",51786.72,47800.15,DIVERSIFIE
2165896,"","","GETHSEMANE UMC","GETHSEMANE UMC CEMETERY MAINTENANCE ENDOWMENT",38856.33,34042.48,DIVERSIFIE
2165903,"","","CENTENARY UMC PITTS","CENTENARY UMC ELIZABETH M. PITTS MEMORIAL MUSIC",40641.96,36070.89,"BAL FUND"
2165903,"","","CENTENARY UMC HERBIN","CENTENARY /WILHELMINA M. HERBIN SCHOLARSHIP FUND",12225.38,10850.44,"BAL FUND"
2165903,"","","CENTENARY UMC PHIBBS","CENTENARY UMC-THE FLOSSIE & BILL PHIBBS MUSIC",75843.98,70278.49,"BAL FUND"
2165903,"","","CENTENARY UMC HUNTER","CENTENARY UMC-THE HUNTER TRUST FUND",106940.79,94912.8,"BAL FUND"
2165903,"","","CENTENARY UMC COLUMB","CENTENARY UMC COLUMBARIUM FUND",42615.65,39654.36,"BAL FUND"
2165903,"","","CENTENARY UMC KIMREY","CENTENARY UMC KIMREY CONTINGENCY DEV FUND",109989.09,157650.82,"DEVEL FD"
2165904,"","","CHRIST UMC","CHRIST UNITED METHODIST FOUNDATION GREENSBORO",542455.52,474560.99,DIVERSIFIE
2165904,"","","CHRIST UMC BUILDING","CHRIST UNITED METHODIST CHURCH ENDOWMENT FUND - BUILDINGS & GROUNDS ACCOUNT",30826.38,24890.74,DIVERSIFIE
2165904,"","","CHRIST UMC MISSIONS","CHRIST UNITED METHODIST CHURCH ENDOWMENT FUND MISSIONS ACCOUNT",41743.81,36481.84,DIVERSIFIE
2165904,"","","CHRIST UMC SCHOLARSH","CHRIST UNITED METHODIST CHURCH SCHOLARSHIP ACCOUNT",37045.31,32375.6,DIVERSIFIE
2165904,"","","CHRIST UMC BOWDEN","CHRIST UMC TIRZAH & RALPH BOWDEN FUND",130502.54,105936.27,"ALL EQUITY"
2165904,"","","CHRIST UMC ORGAN","CHRIST UMC ORGAN FUND",31990.18,27957.72,DIVERSIFIE
2165904,"","","CHRIST UMC FISK","CHRIST UMC ENDOWMENT FUND - FRIENDS OF THE FISK",34350.87,15879.01,DIVERSIFIE
2165904,"","","CHRIST UMC GREENSBOR","CHRIST UMC OF GREENSBORO",123509.37,123722.23,"DEVEL FD"
2165909,"","","GRACE UMC","GRACE UMC PIPE ORGAN MAINTENANCE FUND",18026.61,16276.88,DIVERSIFIE
2165909,"","","GRACE UMC","GRACE UMC FINE FUND",78590.83,68666.73,DIVERSIFIE
2165909,"","","GRACE UMC","GRACE UMC MCNEIL FUND",283908.24,268729.11,DIVERSIFIE
2165909,"","","GRACE UMC","GRACE UMC BROTHERHOOD/SISTERHOOD FUND",1787.97,1562.28,DIVERSIFIE
2165909,"","",GRACEUMC,"GRACE UMC MILLIKAN FUND",225062.96,196642.92,DIVERSIFIE
2165909,"","",GRACEUMC,"GRACE UMC VAN MINISTRY FUND",26687.92,24384.82,DIVERSIFIE
2165909,"","",GRACEUMC,"GRACE MEMBERS SCHOLARSHIP FUND",25824.93,23510.15,DIVERSIFIE
2165909,"","",GRACEUMC,"GRACE UMC MEMORIALS FUND",85286.67,74517.08,DIVERSIFIE
2165909,"","","GRACE UMC","GRACE UMC PARSONAGE/MINISTER HOUSING FUND",198926.94,204811.18,DIVERSIFIE
2165909,"","",GRACEUMC,"GRACE UMC MUSIC/CHOIR FUND",35553.04,38358.63,DIVERSIFIE
2165909,"","","GRACE UMC GREENSBORO","GRACE UNITED METHODIST CHURCH OF GREENSBORO",11087.66,10920.91,"DEVEL FD"
2165913,"","","HINSHAW UMC","HINSHAW UMC GREENSBORO DEVER MEMORIAL FUND",10493.81,9564.1,DIVERSIFIE
2165915,"","","MUIRS CH CEMETERY FD","MUIR'S CHAPEL UMC - CEMETERY FUND",71898.13,60443.33,DIVERSIFIE
2165915,"","","MUIRS CHAPEL LEGACY","MUIR'S CHAPEL UMC LEGACY ENDOWMENT FUND",106144.17,122078.81,DIVERSIFIE
2165915,"","","MUIRS CHAPEL YOUTH","MUIRS CHAPEL UMC YOUTH ENDOWMENT",10991.67,9630,DIVERSIFIE
2165915,"","","MUIRS CHAPEL ESTELLE","MUIRS CHAPEL ESTELLE LAWING SCHOLARSHIP ENDOWMENT FUND",77735.26,70332.93,DIVERSIFIE
2165915,"","",MUIRSENDOW,"MUIRS CHAPEL UMC UNRESTRICTED GIFTS ENDOWMENT FUND",16498.13,288.66,DIVERSIFIE
2165915,"","","MUIR'S CHAPEL UMC","MUIR'S CHAPEL UMC BUILDING BRIDGES CAMPAIGN FUND",31353.04,32741.58,"DEVEL FD"
2165923,"","","IRVING PARK CONGREGA","IRVING PARK UMC CONGREGATIONAL CARE ENDOWMENT",38436.85,33674.96,DIVERSIFIE
2165923,"","","IRVING PARK PRICE","IRVING PARK UMC MARY PRICE FUND",11195.36,9808.45,DIVERSIFIE
2165923,"","","IRVING PARK MISSIONS","IRVING PARK UMC MISSIONS & OUTREACH ENDOWMENT",141226.02,123729.5,DIVERSIFIE
2165923,"","","IRVING PARK PARSONAG","IRVING PARK UMC PARSONAGE FUND",109309.07,95766.75,DIVERSIFIE
2165923,"","","IRVING PARK BUILD","IRVING PARK BUILDING MAINTENANCE ENDOW FUND",16162.16,14159.91,DIVERSIFIE
2165923,"","","IRVING PARK RENDLEMA","IRVING PARK UMC RENDLEMAN AUSTIN ENDOWMENT",33368.76,29234.72,DIVERSIFIE
2165926,"","","WEST MARKET CHARLES","WEST MARKET STREET UMC CHARLES FUND",114313.55,104604.8,DIVERSIFIE
2165926,"","","WEST MARKET DAVIS","WEST MARKET STREET DAVIS FUND",54923.63,49246.54,DIVERSIFIE
2165926,"","","WEST MARKET GENERAL","WEST MARKET STREET GENERAL ENDOWMENTFUND",915157.75,908524.75,DIVERSIFIE
2165926,"","","WEST MARKET LIFE ENR","WEST MARKET STREET UMC LIFE ENRICHMENT FUND",172254.48,156769.59,DIVERSIFIE
2165926,"","","WEST MARKET NELSON","WEST MARKET STREET UMC NELSON FUND",892700,813953.34,DIVERSIFIE
2165926,"","","WEST MARKET PAYNE","WEST MARKET STREET PAYNE FUND",39536.92,16141.37,DIVERSIFIE
2165926,"","","WEST MARKET PARSONAG","WEST MARKET ST UMC PARSONAGE ESCROW FUND",380963.28,331559.4,DIVERSIFIE
2165926,"","","WEST MARKET TAYLOR","WEST MARKET ST/ROBERT & MARY TAYLOR FUND",138498.04,131005.49,DIVERSIFIE
2165926,"","","WEST MARKET KEMP","WEST MARKET STREET JANIE & KEMP REECE FUND",17114,14933.89,DIVERSIFIE
2165926,"","","WEST MARKET LEGA","WEST MARKET UMC LEGACY JOURNEY FUND",1549761.31,102292.39,DIVERSIFIE
2165928,"","","GUILFORD COLLEGE UMC","GUILFORD COLLEGE UNITED METHODIST CHURCH",13131.64,12398.49,DIVERSIFIE
2165938,"","","COVENANT CHURCH","COVENANT CHURCH HIGH POINT UNITED METHODIST CHURCH INC",372176.93,366579.52,"DEVEL FD"
2165945,"","","WESLEY M CONSLD ACCT","WESLEY MEMORIAL UMC - CONSOLIDATED",0,10373444.71,DIVERSIFIE
2165945,"","","WESLEY M WESLEY FUND","WESLEY MEMORIAL UMC WESLEY FUND WESLEY MEMORIAL UMC",1251005.2,1095560.42,DIVERSIFIE
2165945,"","","WESLEY M FACILITIES","FACILITIES ENDOWED FUND WESLEY MEMORIAL UMC",5233147.51,4610624.84,DIVERSIFIE
2165945,"","","WESLEY M QUEBEIN","VICTORIA QUEBEIN EDUCATIONAL ENDOWED FUND WESLEY MEMORIAL UMC",284780.52,248293.63,DIVERSIFIE
2165945,"","","WESLEY M DURLAND","DURLAND MUSIC ENDOWED FUND WESLEY MEMORIAL UMC",192677.01,168996.07,DIVERSIFIE
2165945,"","","WESLEY M MARSH YTH","MILLY MARSH YOUTH ENDOWED FUND WESLEY MEMORIAL UMC",34796.91,30347.48,DIVERSIFIE
2165945,"","","WESLEY M MARSH CHI","MILLY MARSH CHILDREN'S ENDOWED FUND WESLEY MEMORIAL UMC",48892.45,42640.64,DIVERSIFIE
2165945,"","","WESLEY M BIBLE","MILLIS BIBLE ENDOWED FUND WESLEY MEMORIAL UMC",60115.48,52428.54,DIVERSIFIE
2165945,"","","WESLEY M CEMETERY","BRAME CEMETERY FUND WESLEY MEMORIAL UMC",604.35,573.2,DIVERSIFIE
2165945,"","","WESLEY M JC MOORE","J.C. MOORE ENDOWED PLEDGE FUND WESLEY MEMORIAL UMC",30629.87,27570.32,DIVERSIFIE
2165945,"","","WESLEY M NEAL ENDW","GRACE F. AND P.J. NEAL ENDOWED FUND WESLEY MEMORIAL UMC",46918.9,40919.46,DIVERSIFIE
2165945,"","","WESLEY M MOORE","MOORE FLOWER FUND WESLEY MEMORIAL UMC",2272.66,1982.11,DIVERSIFIE
2165945,"","","WESLEY M SINGERS","WESLEY SINGERS ENDOWED FUND WESLEY MEMORIAL UMC",565968.47,489386.83,DIVERSIFIE
2165945,"","","WESLEY M HATHAWAY","HATHAWAY SCHOLARSHIP FUND WESLEY MEMORIAL UMC",25605.42,22975.73,DIVERSIFIE
2165945,"","","WESLEY M ASBURY","ASBURY MISSIONS FUND WESLEY MEMORIAL UMC",650672.36,480669.62,DIVERSIFIE
2165945,"","","WESLEY M MARSH MUS","ODELLE P. MARSH MUSIC ENDOWED FUND WESLEY MEMORIAL UMC",36573.95,31897.31,DIVERSIFIE
2165945,"","","WESLEY M NEAL PLDG","GRACE AND P.J. NEAL ENDOWED PLEDGE FUND WESLEY MEMORIAL UMC",26293.16,24043.31,DIVERSIFIE
2165945,"","","WESLEY M MCANALLY","MCANALLY MUSIC ENDOWED FUND WESLEY MEMORIAL UMC",38688.18,30713.21,DIVERSIFIE
2165945,"","","WESLEY M YTH MNSTRY","YOUTH MINISTRY ENDOWED FUND WESLEY MEMORIAL UMC",42179.59,36687.25,DIVERSIFIE
2165945,"","","WESLEY M HARRISSCOUT","ANTHONY HARRIS SCOUTING SCHOLARSHIP FUND WESLEY MEMORIAL UMC",1056.36,921.39,DIVERSIFIE
2165945,"","","WESLEY M BRINSONCONT","RAIL & SARAH BRINSON CONTEMPORARY WORSHIP FUND WESLEY MEMORIAL UMC",87778.68,76569.94,DIVERSIFIE
2165945,"","","WESLEY M GRADY ADULT","GRADY ADULT EDUCATION ENDOWED FUND WESLEY MEMORIAL UMC",8625.1,7522.28,DIVERSIFIE
2165945,"","","WESLEY M FUTURE CNTR","GOD'S FUTURE CHURCH FUND (CHILD DEVELOPMENT & WORSHIP ARTS CENTER) WESLEY MEMORIAL UMC",7672.2,6691.21,DIVERSIFIE
2165945,"","","WESLEY M MACEDONIA","MACEDONIA FAMILY RESOURCE CENTER FUND WESLEY MEMORIAL UMC",83866.32,73142.36,DIVERSIFIE
2165945,"","","WESLEY M VAUGHNSCHOL","VIVIAN ROSE VAUGHN SCHOLARSHIP FUND WESLEY MEMORIAL UMC",35888.34,31101.59,DIVERSIFIE
2165945,"","","WESLEY M VOLIVA","VOLIVA ENDOWED FUND WESLEY MEMORIAL UMC",2451488.08,2205870.35,DIVERSIFIE
2165945,"","","WESLEY M BOWMANSCHOL","DOROTHY JEAN BOWMAN SCHOLARSHIP ENDOWED FUND WESLEY MEMORIAL UMC",16064.39,14456.37,DIVERSIFIE
2165945,"","","WESLEY M COLUMBARIUM","COLUMBARIUM FUND WESLEY MEMORIAL UMC",98039,85502.8,DIVERSIFIE
2165945,"","","WESLEY M ORGANREFURB","ORGAN REFURBISHMENT FUND WESLEY MEMORIAL UMC",37216.5,32457.64,DIVERSIFIE
2165945,"","","WESLEY M SUMPTERSCHO","SUSAN SUMPTER SCHOLARSHIP FUND WESLEY MEMORIAL UMC",12371.24,11119.06,DIVERSIFIE
2165945,"","","WESLEY M FOSCUE","FOSCUE FUND WESLEY MEMORIAL UMC",449221.83,391779.75,DIVERSIFIE
2165946,"","","JAMESTOWN  MAINT","JAMESTOWN UMC INC  MARTIN MAINTENANCE SUPPLIES",43396.31,38516.87,"BAL FUND"
2165946,"","","JAMESTOWN JOHNSON","JAMESTOWN UMC INC GEORGE/STACIE JOHNSON FUND",17736.65,15742.4,"BAL FUND"
2165946,"","","JAMESTOWN PERPETUAL","JAMESTOWN UMC INC WILLIAMS PERPETUAL CARE FUND",34301.69,39415.35,"BAL FUND"
2165946,"","","JAMESTOWN FOSCUE","JAMESTOWN UMC INC VERA ARMFIELD FOSCUE MEMORIAL",37056,32889.48,"BAL FUND"
2165946,"","","JAMESTOWN INGLE","JAMESTOWN UMC INC - THE INGLE FAMILY SCHOLARSHIP",25547.16,22580,"BAL FUND"
2165946,"","","JAMESTOWN GENERAL","JAMESTOWN UMC INC GENERAL ENDOWMENT FUND",90907.44,80682.85,"BAL FUND"
2165947,"","","JULIAN MELISSA","JULIAN MELISSA (RINEHART)",5582.34,5430.46,"BAL FUND"
2165947,"","","JULIAN SHANE","JULIAN, SHANE (RINEHART)",2676.43,2377.95,"BAL FUND"
2165947,"","","JULIAN UMC","JULIAN UMC DEVELOPMENT FUND",117199.52,120434.65,"DEVEL FD"
2165949,"","","LEES CHAPEL UMC","LEE'S CHAPEL UMC PARSONAGE & HOUSING ALLOWANCE",139042.99,130389.98,CONSERV
2165950,"","","MADISON UMC LEMMA","MADISON UMC - LEMMA APPLE FUND",23760.41,23514.4,DIVERSIFIE
2165950,"","","MADISON UMC MARTIN","MADISON UMC-JACK & ELOISE MARTIN FUND",35661.66,30257.98,DIVERSIFIE
2165950,"","","MADISON UMC MENS","MADISON UMC - MEN'S SCHOLARSHIP FUND",41470.72,36243.12,DIVERSIFIE
2165950,"","","MADISON MOONEY BALAN","MOONEY GENERAL ENDOWMENT- BALANCED FUND MADISON UMC",160762.61,142328.7,"BAL FUND"
2165950,"","","MADISON MOONEY CONSE","MADISION UMC MOONEY GENERAL ENDOWMENT-CONSERVATIVE",143074.68,155967.04,CONSERV
2165950,"","","MADISON MOONEY DIVER","MADISON UMC MOONEY GENERAL ENDOWMENT- DIVERSIFIED",123904.56,108285.65,DIVERSIFIE
2165956,"","","MOUNT HERMON UMC","MOUNT HERMON UMC",98146.8,96670.71,"DEVEL FD"
2165958,"","","MT PLEAS CLAPP FUND","MT PLEASANT UMC - GREENSBORO - CLAPP FUND",58923.99,53015.55,DIVERSIFIE
2165960,"","","PLEASANT UNION UMC","PUUMC GENERAL FUND",106752.55,80369.46,"DEVEL FD"
2165962,"","","OAK RIDGE GEN BALANC","OAK RIDGE UMC GENERAL ENDOWMENT FUND (BALANCED)",340313.83,300127.2,"BAL FUND"
2165962,"","","OAK RIDGE UMC CAP FD","OAK RIDGE UMC CAPITAL IMPROVEMENT FUND",29898.61,26470.34,"BAL FUND"
2165962,"","","OAK RIDGE UMC MIS","OAK RIDGE UMC MISSIONS FUND",76.89,68.12,"BAL FUND"
2165962,"","","OAK RIDGE UMC SCHOLR","OAK RIDGE UMC SCHOLARSHIP FUND",76.89,68.12,"BAL FUND"
2165962,"","","OAK RIDGE UMC YOUTH","OAK RIDGE UMC YOUTH FUND",52043.61,68.12,"BAL FUND"
2165962,"","","OAK RIDGE UMC MUSIC","OAK RIDGE UMC MUSIC FUND",5499.05,4868.53,"BAL FUND"
2165962,"","","OAK RIDGE UMC SCHOOL","OAK RIDGE UMC WEEKDAY SCHOOL FUND",76.89,68.12,"BAL FUND"
2165962,"","","OAK RIDGE UMC CEMTRY","OAK RIDGE UMC CEMETERY FUND",76.89,68.12,"BAL FUND"
2165962,"","","OAK RIDGE UMC AI CEM","OAK RIDGE UMC AI CEMETERY FUND",186167.4,164789.03,"BAL FUND"
2165962,"","","OAK RIDGE GEN DIVERS","OAK RIDGE UMC GENERAL ENDOWMENT FUND (DIVERSIF)",111922.89,97819.98,DIVERSIFIE
2165965,"","","PLEASANT GAR SISKE","PLEASANT GARDEN UMC/DR SISKE FUND",17385.89,14716.47,"ALL EQUITY"
2165965,"","","PLEASANT GAR WAY","PLEASANT GARDEN UMC/LESTER WAY FUND",43334.39,36680.32,"ALL EQUITY"
2165965,"","","PLEASANT GAR BARKER","PLEASANT GARDEN UMC MR BARKER FUND",2525.08,2137.46,"ALL EQUITY"
2165965,"","","PLEASANT GAR TITHE","PLEASANT GARDEN UMC TITHE FUND ACCOUNT",39522.48,38982.2,DIVERSIFIE
2165965,"","","PLEASANT GARDEN LONG","PLEASANT GARDEN UMC LONG TERM FUND",86935.53,70795.66,"ALL EQUITY"
2165965,"","","PLEASANT GARDEN SHOR","PLEASANT GARDEN UMC SHORT TERM FUND",42367.44,37118.61,DIVERSIFIE
2165966,"","","MT PLEASANT END-MAIN","MT PLEASANT UMC ENDOWMENT (PARENT ACCOUNT)",0,360887.21,DIVERSIFIE
2165966,"","","MT PLEAS (LIBERTY)","MT PLEASANT UMC - DIVERSIFIED FUND",744973.96,629911.01,DIVERSIFIE
2165966,"","","MT PLEASANT END GEN","MT PLEASANT UMC ENDOWMENT - GENERAL FUND",413349.8,360887.21,DIVERSIFIE
2165966,"","","MOUNT PLEASANT UMC","MOUNT PLEASANT UMC LIBERTY DEVELOPMENT FUND",6169.15,20917.36,"DEVEL FD"
2165967,"","","REHOBETH ROBERT LAYT","REHOBETH UMC ROBERT LAYTON MEMORIAL FUND",116618.33,102170.53,DIVERSIFIE
2165971,"","","WOODMONT UMC","WOODMONT UNITED METHODIST CHURCH DEVELOPMENT FD",102392.83,100852.89,"DEVEL FD"
2165974,"","","RUFFIN UMC BALANCED","RUFFIN UMC BALANCED FUND",81037.72,47749.91,"BAL FUND"
2165974,"","","RUFFIN UMC DIVERSIFI","RUFFIN UMC DIVERSIFIED FUND",81140.3,47184.08,DIVERSIFIE
2165974,"","","RUFFIN UMC","RUFFIN UNITED METHODIST CHURCH",104151.48,77626.67,"DEVEL FD"
2165978,"","","STOKESDALE UMC RSV","STOKESDALE UMC GENERAL FUND RESERVE",17591.48,20294.13,"DEVEL FD"
2165978,"","","STOKESDALE UMC","STOKESDALE UMC CAPITAL RESERVE",13.09,5414.9,"DEVEL FD"
2165979,"","","MT MITCH PERMANENT","MT MITCHELL UMC PERMANENT ENDOWMENT FUND",33648.48,29479.81,DIVERSIFIE
2165979,"","","MT MITCH SPECIAL PRO","MT MITCHELL UMC SPECIAL PROJECTS ENDOWMENT FUNDS",44301.12,38812.7,DIVERSIFIE
2165979,"","","MT MITCHELL BENFIELD","MT MITCHELL UMC-RICHARD BENFIELD CEMETERY ENDOW",71101.49,60122.55,DIVERSIFIE
2165985,"","","TRINITY LAND KANNAP","TRINITY UMC DAVID LAND SCHOLARSHIP FUND",3238.91,2827.95,DIVERSIFIE
2165985,"","","TRINITY UMC KAN MISS","TRINITY UNITED METHODIST CHURCH KANNAPOLIS MISSION TRUST",72854.86,67345.65,"BAL FUND"
2165985,"","","TRINITY JAMES AND MA","TRINITY UMC JAMES AND MARY BASSINGER YOUTH FUND",1875828.27,1731787.33,"BAL FUND"
2165985,"","","TRINITY KANN CHOIR","TRINITY KANNAPOLIS CHOIR FUND",9986.95,8833.11,"BAL FUND"
2165987,"","","FIRST LANDIS","FIRST UNITED METHODIST CHURCH LANDIS",39410.34,38817.63,"DEVEL FD"
2165989,"","","GRACE UMC SALISBURY","GRACE UMC SALISBURY DEV FUND",52344.58,51557.34,"DEVEL FD"
2165989,"","","GRACE UMC SALISBURY2","GRACE UMC SALISBURY DEV FUND2",25727.85,25340.91,"DEVEL FD"
2165992,"","","MT OLIVET UMC","MT OLIVET UNITED METHODIST CHURCH",521427,473982.43,DIVERSIFIE
2165992,"","","MT OLIVET PARSONAGE","MOUNT OLIVET UMC PARSONAGE FUND",225667.47,199791.26,"BAL FUND"
2165992,"","","MOUNT OLIVET CONCORD","MOUNT OLIVET UMC OF CONCORD DEVELOPMENT FUND",61034.35,40431.09,"DEVEL FD"
2166007,"","","BETHEL UMC SALISBURY","BETHEL UNITED METHODIST CHURCH",69018.93,77937.7,"DEVEL FD"
2166007,"","","BETHEL UMC SPENCER","BETHEL UMC BUILDING FUND",55652.1,54815.12,"DEVEL FD"
2166009,"","","MT TABOR SALIS SCHO","MOUNT TABOR (SALISBURY) SCHOLARSHIP FUND",6303.14,4928,"BAL FUND"
2166011,"","","MOUNT ZION UMC NORWO","MT ZION UNITED METHODIST CHURCH DEVELOPMENT",35833.35,36016.96,"DEVEL FD"
2166014,"","","SALEM JOE LIPPARD","SALEM UMC JOE LIPPARD MAINT TRUST FUND",183275.22,160569.23,DIVERSIFIE
2166014,"","","SALEM UMC NEW BLDG","SALEM UMC NEW FELLOWSHIP BUILDING FUND",59.03,51.82,DIVERSIFIE
2166014,"","","SALEM UMC GENERAL","SALEM UMC GENERAL OPERATING TRUST FUND",53939.9,47873.15,"BAL FUND"
2166017,"","","FUMC SALISBURY COWAN","FIRST UMC SALISBURY C.P. COWAN FUND",8977.33,9313.5,DIVERSIFIE
2166017,"","","FUMC SALISBURY COWAN","FIRST UMC SALISBURY C. COWAN SCHOLARSHIP FUND",194604.01,170949.14,DIVERSIFIE
2166017,"","","FUMC SALISBURY ENDOW","FIRST UMC SALISBURY ENDOWMENT FUND",101702.88,88860.64,DIVERSIFIE
2166017,"","","FUMC SALISBURY LEONA","FIRST UMC SALISBURY W.H. LEONARD FUND",20470.8,17885.97,DIVERSIFIE
2166017,"","","FUMC SALISBURY SCHOL","FIRST UMC SALISBURY SCHOLARSHIP FUND",118231.58,100457.12,DIVERSIFIE
